Code commune;Libellé commune;Libellé région;Libellé typologie;Population municipale 2016
01171;Géovreisset;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;891
01173;Gex;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;12 652
01174;Giron;Auvergne-Rhône-Alpes;Communes très peu denses;180
01175;Gorrevod;Auvergne-Rhône-Alpes;Communes peu denses;861
01177;Grand-Corent;Auvergne-Rhône-Alpes;Communes très peu denses;174
01179;Grièges;Auvergne-Rhône-Alpes;Communes peu denses;1 881
01180;Grilly;Auvergne-Rhône-Alpes;Communes peu denses;808
01181;Groissiat;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 223
01183;Guéreins;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 435
01184;Hautecourt-Romanèche;Auvergne-Rhône-Alpes;Communes peu denses;784
01185;Plateau d'Hauteville;Auvergne-Rhône-Alpes;Communes peu denses;4 845
01187;Haut Valromey;Auvergne-Rhône-Alpes;Communes très peu denses;695
01188;Illiat;Auvergne-Rhône-Alpes;Communes peu denses;615
01189;Injoux-Génissiat;Auvergne-Rhône-Alpes;Communes peu denses;1 147
01190;Innimond;Auvergne-Rhône-Alpes;Communes très peu denses;98
01191;Izenave;Auvergne-Rhône-Alpes;Communes très peu denses;162
01192;Izernore;Auvergne-Rhône-Alpes;Communes peu denses;2 257
01193;Izieu;Auvergne-Rhône-Alpes;Communes peu denses;242
01194;Jassans-Riottier;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;6 391
01195;Jasseron;Auvergne-Rhône-Alpes;Communes peu denses;1 762
01196;Jayat;Auvergne-Rhône-Alpes;Communes peu denses;1 166
01197;Journans;Auvergne-Rhône-Alpes;Communes peu denses;355
01198;Joyeux;Auvergne-Rhône-Alpes;Communes très peu denses;274
01199;Jujurieux;Auvergne-Rhône-Alpes;Communes peu denses;2 181
01200;Labalme;Auvergne-Rhône-Alpes;Communes très peu denses;212
01202;Lagnieu;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;7 090
01203;Laiz;Auvergne-Rhône-Alpes;Communes peu denses;1 213
01204;Le Poizat-Lalleyriat;Auvergne-Rhône-Alpes;Communes peu denses;712
01206;Lantenay;Auvergne-Rhône-Alpes;Communes peu denses;272
01207;Lapeyrouse;Auvergne-Rhône-Alpes;Communes très peu denses;324
01208;Lavours;Auvergne-Rhône-Alpes;Communes très peu denses;127
01209;Léaz;Auvergne-Rhône-Alpes;Communes peu denses;719
01210;Lélex;Auvergne-Rhône-Alpes;Communes très peu denses;225
01211;Lent;Auvergne-Rhône-Alpes;Communes peu denses;1 416
01212;Lescheroux;Auvergne-Rhône-Alpes;Communes peu denses;727
01213;Leyment;Auvergne-Rhône-Alpes;Communes peu denses;1 285
01214;Leyssard;Auvergne-Rhône-Alpes;Communes très peu denses;153
01215;Surjoux-Lhopital;Auvergne-Rhône-Alpes;Communes très peu denses;126
01216;Lhuis;Auvergne-Rhône-Alpes;Communes peu denses;890
01219;Lompnas;Auvergne-Rhône-Alpes;Communes très peu denses;169
01224;Loyettes;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;3 145
01225;Lurcy;Auvergne-Rhône-Alpes;Communes peu denses;379
01227;Magnieu;Auvergne-Rhône-Alpes;Communes peu denses;640
01228;Maillat;Auvergne-Rhône-Alpes;Communes peu denses;623
01229;Malafretaz;Auvergne-Rhône-Alpes;Communes peu denses;1 188
01230;Mantenay-Montlin;Auvergne-Rhône-Alpes;Communes peu denses;310
01231;Manziat;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 977
01232;Marboz;Auvergne-Rhône-Alpes;Communes peu denses;2 226
01233;Marchamp;Auvergne-Rhône-Alpes;Communes très peu denses;131
01234;Marignieu;Auvergne-Rhône-Alpes;Communes très peu denses;173
01235;Marlieux;Auvergne-Rhône-Alpes;Communes peu denses;1 068
